Namespace(batch_size=36, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', lr=0.001, momentum=0.9, no_cuda=False, num_points=1024, seed=1029, test_batch_size=2, use_sgd=True)
Using GPU : 0 in 1 devices
Test 109, loss: 1.538632, test acc: 0.873177, test avg acc: 0.837052
Train 110, loss: 1.629015, train acc: 0.874237, train avg acc: 0.811664
Test 110, loss: 1.530367, test acc: 0.900324, test avg acc: 0.842087
Train 111, loss: 1.627562, train acc: 0.875356, train avg acc: 0.807110
Test 111, loss: 1.597565, test acc: 0.881686, test avg acc: 0.829727
Train 112, loss: 1.624710, train acc: 0.877188, train avg acc: 0.811277
Test 112, loss: 1.548490, test acc: 0.899919, test avg acc: 0.851250
Train 113, loss: 1.626410, train acc: 0.877696, train avg acc: 0.815663
Test 113, loss: 1.714252, test acc: 0.888574, test avg acc: 0.838634
Train 114, loss: 1.624715, train acc: 0.877696, train avg acc: 0.811981
Test 114, loss: 1.879758, test acc: 0.905592, test avg acc: 0.865709
Train 115, loss: 1.620728, train acc: 0.880545, train avg acc: 0.816644
Test 115, loss: 1.686391, test acc: 0.891410, test avg acc: 0.839605
Train 116, loss: 1.625652, train acc: 0.875254, train avg acc: 0.811648
Test 116, loss: 1.643561, test acc: 0.891005, test avg acc: 0.840564
Train 117, loss: 1.619599, train acc: 0.878510, train avg acc: 0.817625
Test 117, loss: 1.562926, test acc: 0.890600, test avg acc: 0.847477
Train 118, loss: 1.617016, train acc: 0.882682, train avg acc: 0.820254
Test 118, loss: 1.524766, test acc: 0.893841, test avg acc: 0.848669
Train 119, loss: 1.615313, train acc: 0.882886, train avg acc: 0.819362
Test 119, loss: 1.654566, test acc: 0.897083, test avg acc: 0.848343
Train 120, loss: 1.617193, train acc: 0.875356, train avg acc: 0.813125
Test 120, loss: 1.555425, test acc: 0.888574, test avg acc: 0.828477
Train 121, loss: 1.611509, train acc: 0.882682, train avg acc: 0.823689
Test 121, loss: 1.537376, test acc: 0.900324, test avg acc: 0.850715
Train 122, loss: 1.611359, train acc: 0.881665, train avg acc: 0.821754
Test 122, loss: 1.526146, test acc: 0.906402, test avg acc: 0.862767
Train 123, loss: 1.608547, train acc: 0.881156, train avg acc: 0.821152
Test 123, loss: 1.649583, test acc: 0.893436, test avg acc: 0.843116
Train 124, loss: 1.604594, train acc: 0.882886, train avg acc: 0.821636
Test 124, loss: 1.588975, test acc: 0.898298, test avg acc: 0.847151
Train 125, loss: 1.601502, train acc: 0.889805, train avg acc: 0.830677
Test 125, loss: 1.671668, test acc: 0.894246, test avg acc: 0.849459
Train 126, loss: 1.610315, train acc: 0.881766, train avg acc: 0.820763
Test 126, loss: 1.609613, test acc: 0.900729, test avg acc: 0.847465
Train 127, loss: 1.602316, train acc: 0.885226, train avg acc: 0.824700
Test 127, loss: 1.644245, test acc: 0.897893, test avg acc: 0.850076
Train 128, loss: 1.592145, train acc: 0.889296, train avg acc: 0.829000
Test 128, loss: 1.669321, test acc: 0.875608, test avg acc: 0.827262
Train 129, loss: 1.597584, train acc: 0.882173, train avg acc: 0.822017
Test 129, loss: 1.850350, test acc: 0.891815, test avg acc: 0.844186
Train 130, loss: 1.594765, train acc: 0.890008, train avg acc: 0.830645
Test 130, loss: 1.567147, test acc: 0.892220, test avg acc: 0.843012
Train 131, loss: 1.594313, train acc: 0.889703, train avg acc: 0.833721
Test 131, loss: 1.589761, test acc: 0.888979, test avg acc: 0.845186
Train 132, loss: 1.597771, train acc: 0.885429, train avg acc: 0.824588
Test 132, loss: 1.690855, test acc: 0.893436, test avg acc: 0.849849
Train 133, loss: 1.579983, train acc: 0.897843, train avg acc: 0.845005
Test 133, loss: 1.640007, test acc: 0.910049, test avg acc: 0.857884
Train 134, loss: 1.590658, train acc: 0.889499, train avg acc: 0.834758
Test 134, loss: 1.474298, test acc: 0.907212, test avg acc: 0.865058
Train 135, loss: 1.592165, train acc: 0.891026, train avg acc: 0.832294
Test 135, loss: 1.621851, test acc: 0.895057, test avg acc: 0.842267
Train 136, loss: 1.583093, train acc: 0.897131, train avg acc: 0.842567
Test 136, loss: 1.652948, test acc: 0.897893, test avg acc: 0.841424
Train 137, loss: 1.587676, train acc: 0.891026, train avg acc: 0.834317
Test 137, loss: 1.553985, test acc: 0.897893, test avg acc: 0.853128
Train 138, loss: 1.578388, train acc: 0.896317, train avg acc: 0.842210
Test 138, loss: 1.586510, test acc: 0.888169, test avg acc: 0.826000
Train 139, loss: 1.573381, train acc: 0.900081, train avg acc: 0.844478
Test 139, loss: 1.633600, test acc: 0.901135, test avg acc: 0.846965
Train 140, loss: 1.577501, train acc: 0.895706, train avg acc: 0.842197
Test 140, loss: 1.514689, test acc: 0.902755, test avg acc: 0.856174
Train 141, loss: 1.571573, train acc: 0.898352, train avg acc: 0.845028
Test 141, loss: 1.530122, test acc: 0.908428, test avg acc: 0.867791
Train 142, loss: 1.576235, train acc: 0.894790, train avg acc: 0.840223
Test 142, loss: 1.555594, test acc: 0.902350, test avg acc: 0.859878
Train 143, loss: 1.570114, train acc: 0.899369, train avg acc: 0.849079
Test 143, loss: 1.659701, test acc: 0.903160, test avg acc: 0.849128
Train 144, loss: 1.566681, train acc: 0.900387, train avg acc: 0.845031
Test 144, loss: 1.769639, test acc: 0.904376, test avg acc: 0.849163
Train 145, loss: 1.567148, train acc: 0.900183, train avg acc: 0.849754
Test 145, loss: 1.543078, test acc: 0.901540, test avg acc: 0.860291
Train 146, loss: 1.566862, train acc: 0.899166, train avg acc: 0.846603
Test 146, loss: 1.487112, test acc: 0.906402, test avg acc: 0.859413
Train 147, loss: 1.564902, train acc: 0.902625, train avg acc: 0.848434
Test 147, loss: 1.483264, test acc: 0.906807, test avg acc: 0.872692
Train 148, loss: 1.561069, train acc: 0.900997, train avg acc: 0.852136
Test 148, loss: 1.623806, test acc: 0.907212, test avg acc: 0.865913
Train 149, loss: 1.564628, train acc: 0.899064, train avg acc: 0.847644
Test 149, loss: 1.749403, test acc: 0.914506, test avg acc: 0.859953
Train 150, loss: 1.557109, train acc: 0.902320, train avg acc: 0.849804
Test 150, loss: 1.620939, test acc: 0.890600, test avg acc: 0.855977
Train 151, loss: 1.563814, train acc: 0.898962, train avg acc: 0.843604
Test 151, loss: 1.604452, test acc: 0.907618, test avg acc: 0.859041
Train 152, loss: 1.551821, train acc: 0.909035, train avg acc: 0.859005
Test 152, loss: 1.574072, test acc: 0.911669, test avg acc: 0.870634
Train 153, loss: 1.559199, train acc: 0.902320, train avg acc: 0.853781
Test 153, loss: 1.665148, test acc: 0.896677, test avg acc: 0.852256
Train 154, loss: 1.549146, train acc: 0.908425, train avg acc: 0.859111
Test 154, loss: 1.478746, test acc: 0.917342, test avg acc: 0.873343
Train 155, loss: 1.548488, train acc: 0.909951, train avg acc: 0.863562
Test 155, loss: 1.576984, test acc: 0.900324, test avg acc: 0.857465
Train 156, loss: 1.546478, train acc: 0.907814, train avg acc: 0.860173
Test 156, loss: 1.498938, test acc: 0.908023, test avg acc: 0.848006
Train 157, loss: 1.544290, train acc: 0.906593, train avg acc: 0.857235
Test 157, loss: 1.444951, test acc: 0.908428, test avg acc: 0.868663
Train 158, loss: 1.542740, train acc: 0.908018, train avg acc: 0.858765
Test 158, loss: 1.452515, test acc: 0.908428, test avg acc: 0.860913
Train 159, loss: 1.549530, train acc: 0.905779, train avg acc: 0.855417
Test 159, loss: 1.521909, test acc: 0.909643, test avg acc: 0.879709
Train 160, loss: 1.538195, train acc: 0.910765, train avg acc: 0.861934
Test 160, loss: 1.528720, test acc: 0.912075, test avg acc: 0.877052
Train 161, loss: 1.544153, train acc: 0.909035, train avg acc: 0.860174
Test 161, loss: 1.405554, test acc: 0.895057, test avg acc: 0.859797
Train 162, loss: 1.530948, train acc: 0.913818, train avg acc: 0.867402
Test 162, loss: 1.516480, test acc: 0.917342, test avg acc: 0.867959
Train 163, loss: 1.532513, train acc: 0.914428, train avg acc: 0.868009
Test 163, loss: 1.516464, test acc: 0.919368, test avg acc: 0.875959
Train 164, loss: 1.530451, train acc: 0.915446, train avg acc: 0.870418
Test 164, loss: 1.545768, test acc: 0.909643, test avg acc: 0.871331
Train 165, loss: 1.530205, train acc: 0.917277, train avg acc: 0.872401
Test 165, loss: 1.448395, test acc: 0.903160, test avg acc: 0.855767
Train 166, loss: 1.529053, train acc: 0.915853, train avg acc: 0.873356
Test 166, loss: 1.486112, test acc: 0.909238, test avg acc: 0.868831
Train 167, loss: 1.525797, train acc: 0.916056, train avg acc: 0.872399
Test 167, loss: 1.504362, test acc: 0.910049, test avg acc: 0.882703
Train 168, loss: 1.524113, train acc: 0.917175, train avg acc: 0.872807
Test 168, loss: 1.692814, test acc: 0.911669, test avg acc: 0.878419
Train 169, loss: 1.522660, train acc: 0.919109, train avg acc: 0.878436
Test 169, loss: 1.464654, test acc: 0.907212, test avg acc: 0.858930
Train 170, loss: 1.532163, train acc: 0.912800, train avg acc: 0.864464
Test 170, loss: 1.445487, test acc: 0.910454, test avg acc: 0.878930
Train 171, loss: 1.521733, train acc: 0.921652, train avg acc: 0.878062
Test 171, loss: 1.578734, test acc: 0.909238, test avg acc: 0.867878
Train 172, loss: 1.519727, train acc: 0.917277, train avg acc: 0.876733
Test 172, loss: 1.470305, test acc: 0.909643, test avg acc: 0.873785
Train 173, loss: 1.519277, train acc: 0.919414, train avg acc: 0.875986
Test 173, loss: 1.523465, test acc: 0.907212, test avg acc: 0.871140
Train 174, loss: 1.518471, train acc: 0.920330, train avg acc: 0.881001
Test 174, loss: 1.514977, test acc: 0.914506, test avg acc: 0.876465
Train 175, loss: 1.516448, train acc: 0.921347, train avg acc: 0.881369
Test 175, loss: 1.506552, test acc: 0.920583, test avg acc: 0.881453
Train 176, loss: 1.511282, train acc: 0.923484, train avg acc: 0.883596
Test 176, loss: 1.463215, test acc: 0.909238, test avg acc: 0.869494
Train 177, loss: 1.507146, train acc: 0.925824, train avg acc: 0.889353
Test 177, loss: 1.534829, test acc: 0.903971, test avg acc: 0.868116
Train 178, loss: 1.512333, train acc: 0.923484, train avg acc: 0.884623
Test 178, loss: 1.505918, test acc: 0.927472, test avg acc: 0.884203
Train 179, loss: 1.511968, train acc: 0.922975, train avg acc: 0.883286
Test 179, loss: 1.431711, test acc: 0.912885, test avg acc: 0.879750
Train 180, loss: 1.500396, train acc: 0.926842, train avg acc: 0.888140
Test 180, loss: 1.410519, test acc: 0.921394, test avg acc: 0.883465
Train 181, loss: 1.499646, train acc: 0.925722, train avg acc: 0.886083
Test 181, loss: 1.593650, test acc: 0.903160, test avg acc: 0.867291
Train 182, loss: 1.503881, train acc: 0.926842, train avg acc: 0.890396
Test 182, loss: 1.568974, test acc: 0.918963, test avg acc: 0.877047
Train 183, loss: 1.498074, train acc: 0.928978, train avg acc: 0.892509
Test 183, loss: 1.597307, test acc: 0.918152, test avg acc: 0.874750
Train 184, loss: 1.499318, train acc: 0.925824, train avg acc: 0.886600
Test 184, loss: 1.581207, test acc: 0.916937, test avg acc: 0.869622
Train 185, loss: 1.498597, train acc: 0.924908, train avg acc: 0.884539
